iter	Passed	Remaining
958	4549	194
959	4554	189
960	4559	185
961	4563	180
962	4568	175
963	4572	170
964	4577	166
965	4582	161
966	4586	156
967	4591	151
968	4595	147
969	4600	142
970	4604	137
971	4609	132
972	4613	128
973	4618	123
974	4622	118
975	4627	113
976	4632	109
977	4636	104
978	4641	99
979	4645	94
980	4649	90
981	4654	85
982	4659	80
983	4663	75
984	4668	71
985	4672	66
986	4677	61
987	4681	56
988	4686	52
989	4690	47
990	4695	42
991	4700	37
992	4704	33
993	4709	28
994	4713	23
995	4718	18
996	4722	14
997	4726	9
998	4730	4
999	4735	0
