iter	Accuracy	Logloss
250	0.848289615	0.3312300413
251	0.8484430127	0.3309861894
252	0.8484430127	0.3307940281
253	0.8484430127	0.330499503
254	0.8490566038	0.3299514244
255	0.8487498083	0.3297806107
256	0.8490566038	0.3293239299
257	0.8495167971	0.3289738405
258	0.8496701948	0.3286989808
259	0.8493633993	0.3283626935
260	0.8495167971	0.3281451145
261	0.8498235926	0.3278208834
262	0.8498235926	0.3274280639
263	0.8501303881	0.3272324622
264	0.8504371836	0.3269629333
265	0.8507439791	0.326778077
266	0.8512041724	0.3263802596
267	0.8516643657	0.3259375931
268	0.8518177635	0.3257824795
269	0.8518177635	0.3255268962
270	0.8518177635	0.3252565475
271	0.852124559	0.3250509209
272	0.852124559	0.3249032615
273	0.8524313545	0.324533146
274	0.85273815	0.3242650236
275	0.8535051388	0.3240269009
276	0.8535051388	0.3236844158
277	0.8536585366	0.3233402903
278	0.8539653321	0.3230394616
279	0.8544255254	0.3226257057
280	0.8551925142	0.3221887786
281	0.8548857187	0.3217995541
282	0.8551925142	0.3216429138
283	0.8551925142	0.3213500413
284	0.8553459119	0.321029984
285	0.8551925142	0.3206330593
286	0.8550391164	0.3203702831
287	0.8551925142	0.3199879149
288	0.8554993097	0.319775265
289	0.8561129008	0.319617998
290	0.8564196963	0.3191260554
291	0.8567264918	0.3187947462
292	0.8570332873	0.3185662472
293	0.8573400828	0.3182608728
294	0.8574934806	0.3179940091
295	0.8578002761	0.3178435234
296	0.8574934806	0.3175824558
297	0.8568798896	0.3173234258
298	0.8576468784	0.3170699998
299	0.8578002761	0.3169457945
300	0.8579536739	0.3167119051
301	0.8585672649	0.3163965615
302	0.8588740604	0.3161298336
303	0.8582604694	0.3157960164
304	0.8588740604	0.3153540259
305	0.8587206627	0.3151362135
306	0.859180856	0.3148806998
307	0.859794447	0.3146458172
308	0.8599478448	0.3143923358
309	0.8594876515	0.3140858333
310	0.8599478448	0.3136676327
311	0.8602546403	0.313442844
312	0.860408038	0.313191301
313	0.8602546403	0.3129061539
314	0.860408038	0.3128122147
315	0.8605614358	0.3125990104
316	0.860408038	0.3123473358
317	0.8605614358	0.3121209315
318	0.8608682313	0.3116289054
319	0.8614818224	0.3113864033
320	0.8611750268	0.3112639413
321	0.8614818224	0.3109863096
322	0.8614818224	0.3107585348
323	0.8622488112	0.3104538328
324	0.8619420156	0.3102137041
325	0.8620954134	0.3100090838
326	0.8624022089	0.3098836885
327	0.8624022089	0.3096502162
328	0.8624022089	0.3092258085
329	0.8620954134	0.3090243959
330	0.8625556067	0.3088021933
331	0.8625556067	0.3084365602
332	0.8625556067	0.3083251259
333	0.8625556067	0.3081660093
334	0.8627090044	0.3078761081
335	0.8631691977	0.3077315931
336	0.8631691977	0.307612075
337	0.8633225955	0.3074532303
338	0.8628624022	0.3069571473
339	0.8628624022	0.3068448684
340	0.8633225955	0.3066361024
341	0.863629391	0.3064144929
342	0.8637827888	0.306191899
343	0.8642429821	0.3059667932
344	0.8639361865	0.3057888589
345	0.8639361865	0.3056951029
